title;_year_data;year;rated;released;runtime;genres;director;writer;actors;plot;languages;country;Oscar nominations;Oscars;nominations;wins;poster;ratings/0/Source;ratings_Value;ratings/1/Source;ratings/1/Value;ratings/2/Source;ratings/2/Value;metascore;rating;votes;imdbid;type;dvd;boxoffice;production;website;response;name;series;imdburl;totalseasons;start_year;opts/apiKey;opts/timeout
The Runner;2015;2015;R;2015-08-06T22:00:00.000Z;90 min;Drama;Austin Stark;Austin Stark;Nicolas Cage, Sarah Paulson, Peter Fonda, Connie Nielsen;In the aftermath of the 2010 BP oil spill, an idealistic but flawed politician is forced to confront his dysfunctional life after his career is destroyed in a sex scandal.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMTkyMDkwNDIyMV5BMl5BanBnXkFtZTgwNDU1OTEwNjE@._V1_SX300.jpg;Internet Movie Database;4.7/10;Rotten Tomatoes;25%;Metacritic;39/100;39;4.7;4,438;tt3687398;movie;25/aug/15;N/A;Alchemy;http://therunner-movie.com;True;The Runner;false;https://www.imdb.com/title/tt3687398;;;;
The Sorcerer's Apprentice;2010;2010;PG;2010-07-13T22:00:00.000Z;109 min;Action;Jon Turteltaub;Lawrence Konner (screen story), Mark Rosenthal (screen story), Matt Lopez (screen story), Matt Lopez (screenplay), Doug Miro (screenplay), Carlo Bernard (screenplay);Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer;Balthazar Blake (Nicolas Cage) is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath (Alfred Molina). Balthazar can't do it alone, so he recruits Dave Stutler (Jay Baruchel), a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness. It'll take all the courage Dave can muster to survive his training, save the city and get the girl as he becomes The Sorcerer's Apprentice.;English, Cantonese, Ukrainian;USA;0;0;1;1;https://m.media-amazon.com/images/M/MV5BNDY3NzQ0NjYxM15BMl5BanBnXkFtZTcwMDkzODM2Mw@@._V1_SX300.jpg;Internet Movie Database;6.1/10;Rotten Tomatoes;41%;Metacritic;46/100;46;6.1;140,365;tt0963966;movie;30/nov/10;$63,143,812;Walt Disney Studios;http://Disney.com/Sorcerers;True;The Sorcerer's Apprentice;false;https://www.imdb.com/title/tt0963966;;;;
The Trust;2016;2016;R;2016-05-12T22:00:00.000Z;92 min;Crime;Alex Brewer, Benjamin Brewer;Benjamin Brewer, Adam Hirsch;Nicolas Cage, Elijah Wood, Sky Ferreira, Eric Heister;Waters and Stone are two nobody police officers who work in the evidence room of the Las Vegas Police Department. When Stone discovers an unusually high bail receipt in connection to a drug bust, the two friends set in motion a plan to find the source of the money.;English, German;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMTA4NjE3OTk1MzdeQTJeQWpwZ15BbWU4MDMwMTk1Mjgx._V1_SX300.jpg;Internet Movie Database;5.4/10;Rotten Tomatoes;64%;Metacritic;58/100;58;5.4;15,138;tt3733774;movie;2/aug/16;N/A;Hassell Free Production;N/A;True;The Trust;false;https://www.imdb.com/title/tt3733774;;;;
The Weather Man;2005;2005;R;2005-10-27T22:00:00.000Z;102 min;Comedy;Gore Verbinski;Steve Conrad;Nicolas Cage, Michael Caine, Hope Davis, Gemmenne de la Peña;Dave Spritz is a local weatherman in his home town of Chicago, where his career is going well while his personal life -- his relationship with his perfectionist writer father, his neurotic ex-wife, and his now-separated children -- is spiraling downward. Despite being both loathed and loved by the local masses, Dave is a guy who doesn't seem to have it all together, and in this film, he begins to feel it. An attractive job offer presents Dave with a major question: to pursue his career in New York City, or to remain at home with his family.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMTQ4NzAxMTE3Ml5BMl5BanBnXkFtZTYwMDAwMjY3._V1_SX300.jpg;Internet Movie Database;6.6/10;Rotten Tomatoes;59%;Metacritic;61/100;61;6.6;73,676;tt0384680;movie;21/feb/06;$12,469,811;Paramount Pictures;http://weathermanmovie.com/;True;The Weather Man;false;https://www.imdb.com/title/tt0384680;;;;
The Wicker Man;2006;2006;PG-13;2006-08-31T22:00:00.000Z;102 min;Horror;Neil LaBute;Neil LaBute (screenplay), Anthony Shaffer;Nicolas Cage, Ellen Burstyn, Kate Beahan, Frances Conroy;While recovering from a tragic accident on the road, the patrolman Edward Malus receives a letter from his former fiancée Willow, who left him years ago without any explanation, telling that her daughter Rowan is missing. Edward travels to the private island of Summerisle, where Willow lives in an odd community that plant fruits, and she reveals that Rowan is actually their daughter. Along his investigation with the hostile and unhelpful dwellers, Edward discloses that the locals are pagans, practicing old rituals to improve their harvest, and Rowan is probably alive and being prepared to be sacrificed. When he locates the girl, he finds also the dark truth about the wicker man.;English;USA;0;0;7;2;https://m.media-amazon.com/images/M/MV5BMTI3NzQ3NjgzN15BMl5BanBnXkFtZTYwMjk4NTU3._V1_SX300.jpg;Internet Movie Database;3.7/10;Metacritic;36/100;;;36;3.7;58,372;tt0450345;movie;1/aug/06;N/A;N/A;N/A;True;The Wicker Man;false;https://www.imdb.com/title/tt0450345;;;;
Trapped in Paradise;1994;1994;PG-13;1994-12-01T23:00:00.000Z;111 min;Adventure;George Gallo;George Gallo;Nicolas Cage, Richard B. Shull, Jon Lovitz, Dana Carvey;Bill Firpo has managed to stay honest, but can't help but be dragged into things by his larcenous brothers, the clever Dave and the kleptomaniac Alvin. When the three find a bank so easy to rob that they can't resist, the only question is whether or not they can get out of town before the big snowstorm hits. While the three brothers run around town with their stolen loot, they are beseiged with the kindness of the townfolk that might just set them on the path of rightousness.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BYjc0YzllMzktMDYyNS00YWRlLWJiOTYtODExYTkzZTI3YTBhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg;Internet Movie Database;5.9/10;Rotten Tomatoes;10%;;;N/A;5.9;11,212;tt0111477;movie;1/jun/04;N/A;Twentieth Century Fox Home Entertainment;N/A;True;Trapped in Paradise;false;https://www.imdb.com/title/tt0111477;;;;
Trespass;2011;2011;R;2011-10-20T22:00:00.000Z;91 min;Crime;Joel Schumacher;Karl Gajdusek;Nicolas Cage, Nicole Kidman, Ben Mendelsohn, Liana Liberato;Kyle and Sarah Miller have it all: a huge gated house on the water, fancy cars, and the potential for romance in their relationship. He's just back from a business trip (he brokers diamonds) and their teen daughter Avery is sneaking out to a party, when four thugs in security uniforms and ski masks stage a home invasion. They want what's in the safe: cash and diamonds. Kyle stalls them, trying to negotiate for Sarah's freedom. Over the next few hours, the back stories of the four robbers (two brothers, a girlfriend, and the representative of a local drug kingpin) as well as the fault lines in Kyle and Sarah's marriage come into play. Is there room here for heroism?;English;USA;0;0;2;2;https://m.media-amazon.com/images/M/MV5BMTM4NTc0Mzk5N15BMl5BanBnXkFtZTcwNDA4NDUyNg@@._V1_SX300.jpg;Internet Movie Database;5.3/10;Rotten Tomatoes;10%;Metacritic;37/100;37;5.3;38,499;tt1674784;movie;1/nov/11;$16,816;Millennium Entertainment;http://www.trespass-the-movie.com/;True;Trespass;false;https://www.imdb.com/title/tt1674784;;;;
Tulskiy Tokarev;2010–;;N/A;2010-02-28T23:00:00.000Z;44 min;Crime;N/A;N/A;Aleksey Guskov, Andrey Smolyakov, Sergey Yushkevich, Maria Zvonareva;N/A;Russian;Russia;0;0;0;0;https://images-na.ssl-images-amazon.com/images/M/MV5BOGU2NDY4YzQtYTcwOS00ZWQwLWI3MmItZmRiYjk0ZjQzMDQ3XkEyXkFqcGdeQXVyMTU2NTE5NDU@._V1_SX300.jpg;Internet Movie Database;8.3/10;;;;;N/A;8.3;12;tt1712153;series;;;;;True;Tulskiy Tokarev;true;https://www.imdb.com/title/tt1712153;1;2010;2a38c7fe;10000
USS Indianapolis: Men of Courage;2016;2016;R;2016-10-13T22:00:00.000Z;128 min;Action;Mario Van Peebles;Cam Cannon, Richard Rionda Del Castro;Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter;The harrowing true story of the crew of the USS Indianapolis, who were stranded in the Philippine Sea for five days after delivering the atomic weapons that would eventually end WWII. As they awaited rescue, they endured extreme thirst, hunger, and relentless shark attacks.;English;USA;0;0;1;0;https://m.media-amazon.com/images/M/MV5BYmYxYjAxNDItZWY2NC00MTE1LWIxNGMtZjkzOTM3MzIwM2RjXkEyXkFqcGdeQXVyNDI0MTYyNzU@._V1_SX300.jpg;Internet Movie Database;5.2/10;Rotten Tomatoes;17%;Metacritic;30/100;30;5.2;8,768;tt2032572;movie;24/jan/17;N/A;Saban Films;N/A;True;USS Indianapolis: Men of Courage;false;https://www.imdb.com/title/tt2032572;;;;
Valley Girl;1983;1983;R;1983-04-28T22:00:00.000Z;99 min;Comedy;Martha Coolidge;Andrew Lane, Wayne Crawford;Nicolas Cage, Deborah Foreman, Elizabeth Daily, Michael Bowen;Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMjA4NzI5OTgyMV5BMl5BanBnXkFtZTgwODgwNjU1MDE@._V1_SX300.jpg;Internet Movie Database;6.4/10;Metacritic;66/100;;;66;6.4;11,506;tt0086525;movie;01 Mar 2005;N/A;MGM Home Entertainment;N/A;True;Valley Girl;false;https://www.imdb.com/title/tt0086525;;;;
Vampire's Kiss;1988;1988;R;1989-06-22T22:00:00.000Z;103 min;Comedy;Robert Bierman;Joseph Minion;Nicolas Cage, Maria Conchita Alonso, Jennifer Beals, Elizabeth Ashley;A publishing executive is visited and bitten by a woman and starts exhibiting erratic behavior. He pushes his secretary to extremes as he tries to come to terms with his delusions. The woman continues to visit and as his madness deepens, it begins to look as if some of the events he's experiencing may be hallucinations.;English, German;USA;0;0;2;1;https://m.media-amazon.com/images/M/MV5BMTM1MDAyMDYxMV5BMl5BanBnXkFtZTcwNDQwMzc3NA@@._V1_SX300.jpg;Internet Movie Database;5.9/10;Rotten Tomatoes;61%;Metacritic;31/100;31;5.9;11,592;tt0098577;movie;27/aug/02;N/A;MGM;N/A;True;Vampire's Kiss;false;https://www.imdb.com/title/tt0098577;;;;
Vengeance: A Love Story;2017;2017;TV-MA;2017-09-14T22:00:00.000Z;99 min;Crime;Johnny Martin;"John Mankiewicz (screenplay by), Joyce Carol Oates (based upon the Novel "" Rape: A Love Story"" by)";Nicolas Cage, Anna Hutchison, Talitha Eliana Bateman, Deborah Kara Unger;Walking home with her 12-year-old daughter after midnight on the Fourth of July, Teena crosses paths with some local losers to be brutally gang raped with her daughter Bethie watching. Bethie is able to identify the rapists, but when the rapists hire a hot shot attorney who attacks Teena's character, Dromoor, a local police officer who was first on the scene when police were called, starts to take matters into his own hands.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BZGY2MDBiM2UtZTU4NC00OTU4LTg4ZjUtNTQxM2Q5Mzg3N2Q2XkEyXkFqcGdeQXVyMjAyNjIzOQ@@._V1_SX300.jpg;Internet Movie Database;5.2/10;;;;;N/A;5.2;5,041;tt5460530;movie;15/sep/17;$4,526;Patriot Pictures;N/A;True;Vengeance: A Love Story;false;https://www.imdb.com/title/tt5460530;;;;
Wild at Heart;1990;1990;R;1990-08-16T22:00:00.000Z;125 min;Comedy;David Lynch;Barry Gifford (novel), David Lynch (screenplay);Nicolas Cage, Laura Dern, Willem Dafoe, J.E. Freeman;Lula's psychopathic mother goes crazy at the thought of Lula being with Sailor, who just got free from jail. Ignoring Sailor's probation, they set out for California. However their mother hires a killer to hunt down Sailor. Unaware of this, the two enjoy their journey and themselves being together... until they witness a young woman dying after a car accident - a bad omen.;English, Spanish;USA;1;0;10;4;https://m.media-amazon.com/images/M/MV5BMjAxYmJhMTMtNmZlZi00ZWJlLTlmMjctOTg5ZTg4MzZmOWM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;Internet Movie Database;7.2/10;Rotten Tomatoes;66%;Metacritic;52/100;52;7.2;72,539;tt0100935;movie;7/dec/04;N/A;Media Home Entertainment;N/A;True;Wild at Heart;false;https://www.imdb.com/title/tt0100935;;;;
Windtalkers;2002;2002;R;2002-06-13T22:00:00.000Z;134 min;Action;John Woo;John Rice, Joe Batteer;Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich;During World War II when the Americans needed to find a secure method of communicating they devised a code using the Navajo language. So Navajos were recruited to become what they call code talkers. They would be assigned to a unit and would communicate with other units using the code so that even though the enemy could listen they couldn't understand what they were saying. And to insure that the code is protected men are assigned to protect it at all costs. One of these men is Joe Enders, a man who sustained an injury that can make him unfit for duty but he manages to avoid it and is told of his duty and that the man he is suppose to protect is Ben Yahzee. Initially there is tension but the two men learn to get along.;English, Navajo, Japanese;USA;0;0;4;3;https://m.media-amazon.com/images/M/MV5BYWU3NmIzMmQtZjE2Mi00NDlkLWI2NDMtZWZmYjUxZWRiZDZiL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;Internet Movie Database;6.0/10;Rotten Tomatoes;32%;Metacritic;51/100;51;6;61,201;tt0245562;movie;15 Oct 2002;$40,531,308;MGM/UA;http://www.mgm.com/windtalkers;True;Windtalkers;false;https://www.imdb.com/title/tt0245562;;;;
World Trade Center;2006;2006;PG-13;2006-08-08T22:00:00.000Z;129 min;Drama;Oliver Stone;Andrea Berloff, John McLoughlin (true story), Donna McLoughlin (true story), William Jimeno (true story), Allison Jimeno (true story);Nicolas Cage, Maria Bello, Connor Paolo, Anthony Piccininni;On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them.;English;USA;0;0;8;4;https://m.media-amazon.com/images/M/MV5BMTIxMzE5ODEwOV5BMl5BanBnXkFtZTcwMzM3MzIzMQ@@._V1_SX300.jpg;Internet Movie Database;6.0/10;Rotten Tomatoes;67%;Metacritic;66/100;66;6;73,07;tt0469641;movie;29/jan/07;$70,236,496;Paramount Pictures;http://www.wtcmovie.com/;True;World Trade Center;false;https://www.imdb.com/title/tt0469641;;;;
Zandalee;1991;1991;R;1991-05-08T22:00:00.000Z;100 min;Drama;Sam Pillsbury;Mari Kornhauser;Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano;"Bored with her marriage to burnt out poet turned corporate executive Thierry, Zandalee falls prey to an old friend of her husband, the manipulative and egotistical Johhny and becomes enmeshed in a sensual, passionate and destructive affair. But it isn't only the flames of their erotic affair that are fanned by the steamy heat of the deep New Orleans nights; hatred, desire and revenge stalk the lovers' with a relentless precision, and for Zandalee, the moment of truth arrives with a terrifying finality.";English;USA;0;0;0;0;https://images-na.ssl-images-amazon.com/images/M/MV5BMjFlZWMxZTktNGM2My00MDM0LWIxMDQtOWU2MDg4YTJhYjYxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg;Internet Movie Database;4.4/10;Rotten Tomatoes;33%;;;N/A;4.4;2,983;tt0101004;movie;26/apr/05;N/A;Live Home Video;N/A;True;Zandalee;false;https://www.imdb.com/title/tt0101004;;;;
